Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,maxpath,graph-states,graph-actions,minCvg(%),maxCvg(%),abstract-states,test-actions,SUTRAM(KB),SUTCPU(%),TestRAM(MB),TestCPU(s),FAILS,random-actions,fitness,timestamp
0,2395,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,38,93,454,1.12,99.9,55,1000,60676,156.67,322.2929688,4.692,0,1,0.873704057,15-11-2017 19:30
0,2396,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,96,271,803,0.82,99.9,94,1000,80972,110.1,385.5585938,1.907,0,5,0.521995751,15-11-2017 19:34
0,2397,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,99,347,862,0.91,99.9,76,1000,73752,134.04,373.1796875,2.41,0,0,0.504219484,15-11-2017 19:38
0,2398,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,65,343,827,0.89,99.9,111,1000,85312,112.86,387.7226563,1.845,0,10,0.47727396,15-11-2017 19:43
0,2399,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,108,350,802,0.89,99.9,134,1000,71544,114.63,319.828125,2.342,0,5,0.47727396,15-11-2017 19:48
0,2400,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,50,226,671,0.99,99.9,85,1000,63556,137.78,342.3984375,2.117,0,8,0.47727396,15-11-2017 19:52
0,2401,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,51,294,793,0.89,99.9,106,1000,76232,217.82,370.59375,2.331,0,10,0.505537066,15-11-2017 19:57
0,2402,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,101,268,815,0.82,99.9,101,1000,85820,159.18,393.5625,2.338,0,1,0.501761497,15-11-2017 20:02
0,2403,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,70,213,438,1.56,66.67,34,467,30892,1703.07,129.875,20.378,0,0,0.518383232,15-11-2017 20:04
0,2404,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,84,343,854,1.03,99.9,84,1000,58340,130,374.1953125,2.378,0,1,0.513980548,15-11-2017 20:09
0,2405,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,172,275,721,0.89,99.9,90,1000,100920,151.39,554.1015625,2.775,0,5,0.511490215,15-11-2017 20:14
0,2406,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,40,195,618,1.12,99.9,76,1000,67204,123.81,371.3710938,2.075,0,7,0.51968622,15-11-2017 20:19
0,2407,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,51,181,707,0.89,99.9,99,1000,74768,122.33,353.3242188,1.852,0,10,0.528890196,15-11-2017 20:23
