Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,maxpath,graph-states,graph-actions,minCvg(%),maxCvg(%),abstract-states,test-actions,SUTRAM(KB),SUTCPU(%),TestRAM(MB),TestCPU(s),FAILS,random-actions,fitness,timestamp
0,1,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,147,181,260,0,66.67,120,277,174720,142.78,493.5820313,23.687,0,1,0.6383816,22-11-2017 21:18
0,2,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,89.74,177,270.2,0.953473684,99.9,120,605,213420,314.29,716.921875,22.762,0,0,0.612288252,22-11-2017 21:27
0,3,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,134,288,610,0.74,99.9,174,676,215620,945.87,989.875,25.912,0,71,0.71588546,22-11-2017 21:38
0,4,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,31,88,307,0.7,99.9,58,450,159840,446.67,873.3710938,29.303,0,144,0.795557284,22-11-2017 21:49
0,5,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,24,65,252,0.75,93.33,43,253,215148,527.83,989.875,38.125,0,2,0.810307854,22-11-2017 21:56
0,6,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,93,112,174,0.64,50,90,176,135820,427.69,641.6132813,33.998,0,47,0.804328699,22-11-2017 22:01
0,7,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,69,88,214,0,50,71,221,223272,166.76,944.1054688,28.447,0,49,0.793051586,22-11-2017 22:09
0,8,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,45,63,110,0,64.29,51,110,137188,353.9,639.5195313,28.812,0,6,0.811312423,22-11-2017 22:16
0,10,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,103,128,204,0.68,66.67,84,204,195284,238.15,587.0585938,26.46,0,31,0.815643539,22-11-2017 22:25
0,11,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,81,100,157,0.81,53.33,67,162,179428,1108.15,660.109375,25.929,0,43,0.793051586,22-11-2017 22:31
0,12,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,44,59,126,0.49,80,43,128,133548,702.61,448.5820313,25.24,0,15,0.814105663,22-11-2017 22:36
0,15,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,62.85,88,174,0.6955,93.33,67,253,183937.6,446.67,801.0351563,28.447,0,47,0.81419296,22-11-2017 23:10
0,16,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,219,270,799,0.64,90,133,871,392720,187.43,989.875,61.236,0,38,0.496946137,22-11-2017 23:39
0,17,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,221,289,680,0.62,77.78,139,700,357736,150.1,989.875,33.141,0,42,0.489985956,23-11-2017 00:10
0,18,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,37,80,446,1.33,55.56,44,463,155228,280.3,989.875,201.44,0,19,0.505199365,23-11-2017 01:00
0,20,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,98,129,388,0.64,83.33,93,563,301632,125.69,989.875,46.89,0,57,0.542379322,23-11-2017 02:09
0,21,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,71,83,199,1.33,66.67,63,234,95324,356.24,928.0273438,48.566,0,23,0.551950828,23-11-2017 02:53
0,22,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,62,86,178,0.65,50,67,184,273288,107.25,826.0820313,44.04,0,33,0.672672794,23-11-2017 03:24
0,23,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,106,145,564,0.46,87.5,105,604,436524,444.58,989.875,36.545,0,57,0.641500299,23-11-2017 03:41
0,25,random-action-of-type-other-than:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-action:,W5G4YU,W5G4YU,92,129,446,0.7,83.33,77.65789474,604,208140,444.58,726.6601563,42.656,0,50,0.672672794,23-11-2017 04:57
0,28,random-action-of-type:type-of-action-of:if-then-else:state-has-not-changed:random-action:random-most-executed-action:,V5G7UY,V5G7UY,324,417,600,0.69,99.9,268,712,226992,247.38,989.875,23.817,0,610,0.854357658,23-11-2017 05:56
0,30,random-action-of-type:type-of-action-of:if-then-else:state-has-not-changed:random-action:random-most-executed-action:,V5G7UY,V5G7UY,60,73,141,0.7,83.33,50,225,166660,932.3142368,597.3314453,22.727,0,157,0.86710997,23-11-2017 06:03
0,31,if-then-else:and:equalstype:type-of-action-of:random-action-of-type-other-than:hit-key-action:type-of-action-of:if-then-else:not:equals:number-of-left-clicks:number-of-actions:if-then-else:equals:number-of-previous-actions:number-of-type-actions:random-action-of-type-other-than:hit-key-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:equalstype:drag-action:type-of-action-of:if-then-else:equals:number-of-left-clicks:number-of-previous-actions:random-unexecuted-action-of-type:hit-key-action:random-action-of-type:hit-key-action:if-then-else:equals:number-of-actions-of-type:click-action:number-of-actions-of-type:type-of-action-of:previous-action:random-action-of-type:type-of-action-of:if-then-else:state-has-not-changed:previous-action:random-least-executed-action:random-unexecuted-action-of-type:type-of-action-of:if-then-else:type-actions-available:random-action-of-type:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:hit-key-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GA85W65GIEMJGENOW6V325Y8C5GEMN26V6GEKBK5TV5G7TX25G4V5XW625Y,GA85W65GIEMJGENOW6V325Y8C5GEMN26V6GEKBK5TV5G7TX25G4V5XW625Y,84,101,153,0,60,64,156,252788,339.11,925.59375,51.26,0,116,0.908757175,23-11-2017 06:10
