Generation,Counter,Strategy,Short strategy,Simplified strategy,maxpath,graph-states,graph-actions,minCvg(%),maxCvg(%),abstract-states,test-actions,SUTRAM(KB),SUTCPU(%),TestRAM(MB),TestCPU(s),FAILS,random-actions, fitness,
0,0,random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-most-executed-action:,25V5Y,25Y,20.72930986,32,100,1.552055897,75.00694993,14,100,5044,100,53.30621513,2.174,0,39.20135965,1.377126884,
0,0,random-least-executed-action:,X,X,24,40,100,1.619210526,75.49797368,13,100,6056,99.6,59.50390625,2.559,0,0,1.25,
0,0,random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,25Y,25Y,20.72930986,32,100,1.552055897,75.00694993,14,100,5044,100,53.30621513,2.174,0,39.20135965,1.377126884,
0,0,previous-action:,T,T,14.13524181,13.13524181,1,1.89,2.44,1,100,4372,66.84,27.97662055,2.22,0,0,1.914932985,
0,0,random-unexecuted-action-of-type:hit-key-action:,26,26,19.65833333,25.90833333,93,1.901,66.67,10.45833333,100,4915.366667,95.11158333,49.13054362,2.637216667,0,98.28333333,1.481413746,
0,0,random-action:,U,U,25.55,38.22631579,97,1.67,66.67,14,100,5808,123.9646316,64.3671875,2.875,0,0,1.252190159,
0,0,random-action-of-type-other-than:hit-key-action:,W6,W6,28,38.44078947,95,1.447666667,62.39736112,13,100,6043.433333,113.3356708,61.51751473,2.37,0,2,1.226824973,
0,2,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,19,31,92,1.75,50,22,100,75268,510.48,213.9101563,8.082,0,99,1.414213562,
0,3,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,13,23,80,4.17,90.91,12,100,18652,133.33,86.90234375,1.731,0,100,1.524985703,
0,4,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,42,64,98,0.86,50,54,100,47588,109.86,80.5234375,2.521,0,98,1.27342908,
0,5,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,35,46,92,0.75,99.9,42,100,40564,83.19,114.2734375,1.67,0,98,1.111111111,
0,6,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,12,22,44,1.19,99.9,21,100,36532,229.41,54.25,1.74,0,100,1.216260639,
0,7,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,13,21,73,3.23,71.43,17,100,223552,2419.78,452.234375,45.703,0,86,1.293512061,
0,8,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,20,30,88,1.82,50,15,100,28056,351.8,198.6953125,2.586,0,100,1.414213562,
0,9,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,17,32,83,2,99.9,29,100,39020,194.48,157.0585938,2.425,0,100,1.386750491,
0,10,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,8,20,88,2.63,60,20,100,17116,158.53,58.1875,2.391,0,100,1.458649915,
0,11,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,6,5,27,16.67,91.67,5,100,14260,47,79.8359375,2.202,0,100,1.469635061,
0,12,random-unexecuted-action-of-type:type-of-action-of:if-then-else:not:drag-actions-available:random-action-of-type:type-action:if-then-else:drag-actions-available:random-most-executed-action:random-most-executed-action:,25GIDV3GDYY,25GIDV3Y,6,10,39,6.45,99.9,10,100,16864,58.02,64.80078125,1.646,0,100,1.666666667,
