Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,maxpath,graph-states,graph-actions,minCvg(%),maxCvg(%),abstract-states,test-actions,SUTRAM(KB),SUTCPU(%),TestRAM(MB),TestCPU(s),FAILS,random-actions,fitness,timestamp
0,2790,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,12,43,197,2,85.71,32,325,34728,100,203.75,13.13,0,0,1.348399725,15-11-2017 19:24
0,2791,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,73,224,700,1.72,91.67,57,1000,76180,152.21,517.140625,1.883,0,0,0.580258853,15-11-2017 19:28
0,2792,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,23,46,160,1.69,99.9,27,266,82352,165.56,174.3554688,37.399,0,71,0.672672794,15-11-2017 20:11
0,2793,if-then-else:greater-than:number-of-left-clicks:number-of-type-actions:random-action-of-type:click-action:random-unexecuted-action:,GFMOVB1,GFMOVB1,15,51,364,4,99.9,33,1000,85832,186,446.7070313,2.974,0,0,0.78266048,15-11-2017 20:16
0,2795,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,25,129,695,1.2,99.9,74,1000,316420,1513.58,772.5273438,20.414,0,324,0.805822964,15-11-2017 23:13
0,2796,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,9,9,620,4.17,99.9,6,1000,18980,51.61,104.421875,1.961,0,419,1.078327732,15-11-2017 23:17
0,2797,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,62,200,708,1.82,99.9,157,1000,126728,117.74,471.421875,4.706,0,303,0.90535746,15-11-2017 23:24
0,2798,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,85,236,457,1.45,99.9,194,491,99276,107.76,357.4921875,4.77,0,46,0.617802063,15-11-2017 23:29
0,2801,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,48,197,372,0.99,99.9,132,1000,143732,108.09,546.7773438,4.418,0,631,0.844278841,15-11-2017 23:39
0,2804,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,49,148,759,1.2,99.9,74,1000,418244,508.41,989.875,15.55,0,267,0.950872826,16-11-2017 01:20
0,2805,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,18,45,171,1.75,82.61,35,199,81444,192.16,60.796875,33.898,0,2,1.259881577,16-11-2017 02:00
0,2807,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,21,49,182,2,99.9,22,483,24032,99.36,292.046875,30.007,0,300,1.259881577,16-11-2017 02:53
0,2808,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,27,50,399,3.23,99.9,35,620,86800,153.95,240.0195313,5.047,0,238,1.195228609,16-11-2017 02:57
0,2809,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,14,50,468,4.35,99.9,40,610,65816,122.22,233.6757813,11.812,0,162,1.221694444,16-11-2017 03:01
0,2810,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,25T,33,113,678,2,99.9,59,1000,81248,128.36,304.671875,2.102,0,345,1.186781658,16-11-2017 03:06
